Document ID;purchase_date;total_items;total_payment;user_id
05NyQL4fgAJ481UmpuFj;2024-06-17T07:15:22.456;3;150000;"""82a0f05f-6319-4f08-ac7e-441492278c8b"""
073o5yCXPaSQAvx96rnf;2024-06-23T08:30:15.789;3;317000;"""6b80b9af-2a62-4704-835c-530228fd4186"""
07y42hzJZbJG3yXu0hQP;2024-06-16T13:30:45.123;8;780088;"""f4565327-342f-4555-a17b-788befac784b"""
0nxdoVLAFNlo49zGeDAE;2024-06-23T07:45:34.567;4;295000;"""2ceb7b2e-9aab-4d1f-b20d-015a5d6b3b12"""
0qsAT52SiOtQf19LdLec;2024-06-17T12:35:27.890;2;100000;"""9baa66bd-1d78-4b2c-83c3-6aea74acf025"""
165CFw17IJozYC8F7Niq;2024-06-24T18:45:10.234;9;938000;"""6b5dd698-cefd-4251-83de-6b25059f0d7c"""
1YRCNptwgVdeQldIz8tl;2024-06-14T18:15:52.678;8;1017392;"""6fac4396-d204-4e30-ac3d-1c4f256cd0f8"""
1ekHy41VIrsdNYBjin7Q;2024-06-07T12:25:36.901;7;534079;"""dd770441-39d0-4ba8-a8dd-155d5c5ce4ae"""
1jSVcAVnQVJzLXsM24OU;2024-06-02T08:00:48.345;10;1132660;"""fe881bd3-a748-4865-bf27-76e0adbef9e7"""
2Vnj1YPvCM8ICcHMO9B4;2024-06-18T19:30:29.456;6;381798;"""c5584855-7197-4412-8ee8-5ae9fa6dd4ff"""
2cNEQMMuj4DRXqrrAKGc;2024-06-09T07:00:17.890;4;311000;"""584c2e50-e1eb-4aa7-903a-fe1e0b3c54a9"""
2hCXEVIxbsf62EbaXzFY;2024-06-09T07:45:39.123;2;283000;"""d14a2734-6f3d-4e5d-b610-9e4b3150ba8d"""
2uQpCo5BHG1gdheA0S1Z;2024-06-19T08:15:14.567;9;1029000;"""ecb0f074-abc1-4766-889f-319d32f53698"""
3UT7W2jdKBRAeWqPebia;2024-06-12T13:00:27.890;10;1092350;"""09ed0c95-2650-415c-8891-56620f37e4c5"""
3lJDtO54JOwzpgCgxmP1;2024-06-17T08:45:56.234;1;50000;"""95369040-383c-49dd-90ae-2f480a484a23"""
3maBq8tjXeWqPPaA7VL8;2024-05-15T12:20:49.567;5;250000;"""57ebf940-621a-4f44-ad54-78ef1410bc24"""
45z1wZ0Gtjk5NRgwI2r8;2024-06-22T07:30:38.901;7;832000;"""6d54ffc6-75f2-4a29-84b7-a7e45eddd9e7"""
4iD8n3sSr5Ce4JQv77X1;2024-06-06T19:00:25.678;7;438137;"""1627e7bb-fecd-4c91-b764-cd47edb78c49"""
5AP6XH08dMsmyPgiBXCz;2024-05-15T13:15:36.234;3;150000;"""505157f0-fef9-4f3f-bc33-f9985c729138"""
5AiR6sgSW3QMBaC2awac;2024-06-08T07:10:22.567;3;323499;"""e3dd3680-2373-40f0-8e39-1bce4d729ffe"""
5HILTPdGQgka29jPQ5Cm;2024-06-15T18:30:14.678;4;205000;"""e26fd4cc-a5f9-4908-8e6b-6d72e40c7226"""
5WvdteHiQxozfOl9UOds;2024-06-13T12:30:43.789;8;527112;"""02aa4afe-b87e-4847-9b38-736ea74c1307"""
5eFSBFXzTr82GzLl08yt;2024-06-11T18:45:19.123;10;1332000;"""4c43ac19-edb5-4471-9300-14b6ac722c77"""
68LCoAd0xIBR2i5Kw3rK;2024-06-12T07:05:28.456;2;124192;"""57f496da-6739-4013-bf4a-57f774fe3dd6"""
6914njnA22xcs785Nn8V;2024-06-17T19:15:35.678;5;250000;"""4e0425e2-e5a5-4441-97c0-b75ebec374de"""
6DthbiPKKlklDqAvClV2;2024-05-15T18:00:47.890;3;150000;"""4cf5f207-c0a4-4d2f-a1e0-09ba086dca35"""
6JXCCrkKXJ6c3dniWtya;2024-06-09T08:30:52.234;6;459000;"""46e362b6-6332-479f-bb2d-5209064507f5"""
6lEqAi8wV0RonSsHY1B4;2024-05-15T12:50:31.567;3;150000;"""f897819d-bb3d-4174-ad22-c01d19a29835"""
6xW32fJ255OoeQnUYNXd;2024-06-01T07:20:26.890;3;350202;"""93f65fe2-416c-4f9c-af33-26bae188d378"""
7NGU8W9m8oQUOozhDEHb;2024-06-23T12:40:15.678;10;1048000;"""71855be2-6c38-4542-99bd-b5e8151f9075"""
7USu7VxeKlsFBcyNaTpT;2024-06-04T19:20:46.901;5;624810;"""31fc8d9d-7395-4c9d-9d73-13fcb8fe313e"""
871T9v9vZkUYxP8IarnB;2024-06-13T08:10:37.234;8;1144000;"""8e8f7db4-077e-454f-af2b-bde9980517cc"""
8QjRH49fLYBYyXFdtPEK;2024-06-17T07:50:18.567;2;100000;"""791d75c8-b3d5-4a5e-9766-67a543d584b1"""
8RynoXZI35jpm5FfqLNf;2024-06-12T18:30:29.890;3;206130;"""46bf3db1-e711-4979-8123-85652ce6ac2d"""
8SudmPxL90xSD0U2bW9y;2024-06-03T13:10:57.123;4;472228;"""2177b530-3482-4b15-ad0d-3ea596ff067c"""
8Tf6qvcpgMZHOGyKNPyB;2024-06-01T08:45:11.456;2;156000;"""b5e09470-44af-49a1-ad20-7c9d5de36ee0"""
8Z15R1D91ZuuvYYG1PoZ;2024-06-07T19:35:24.789;5;375000;"""44e97395-d6e0-46b8-a340-ff8842797fbd"""
8tXizUzQzGh5asiwhF47;2024-06-17T08:30:41.012;5;250000;"""96da096d-88eb-48da-97d9-f4e721a31566"""
8vAcTRFsc8XZnmhvdvO7;2024-06-02T12:45:16.345;4;529000;"""e404db5d-b817-4c9e-91a3-2a0da60c2347"""
9179AW5zyn8NfYGQzjW0;2024-06-14T18:55:28.678;7;834379;"""0c4e7733-97d6-46f7-b22b-64bbb4d4ae19"""
9UVIfgVipYcHbUDbAU12;2024-06-22T07:50:33.901;1;53000;"""1de23179-f8df-4f2e-86dd-362ab04c4108"""
9k4XJi7i0So5Gp6Z1wZ8;2024-05-15T08:30:48.234;5;250000;"""23531125-55ad-44d7-a55c-2c927ec219a4"""
9mQD89HRENMAaEs95zYJ;2024-06-30T12:50:15.678;10;1283900;"""9a5992c6-1a44-45f4-852e-95c05e6acdc7"""
9pliUAnZJtNeXDGBWTmy;2024-07-01T19:40:27.901;7;609574;"""884d33aa-a2d7-46e2-a6dc-e8968c45987f"""
9zplFOuLHIz9EhLGkPz9;2024-06-14T07:25:59.123;8;782000;"""8aa4940d-01b8-4100-ad34-0b19c99785d3"""
ACZHbJGynzfRFlWe25dz;2024-06-18T18:10:46.456;3;296000;"""de31a081-f18a-477d-a2fe-bbd752b76954"""
ALpUQ9CjUVe4b1h8nLdc;2024-06-17T08:00:12.789;2;100000;"""43ce7f26-7348-4b29-ae2a-5545cd695dca"""
AS3yctfA32HsvcSQF0vV;2024-05-15T19:25:30.123;4;200000;"""0669e310-1823-4258-a322-bdb0e203c83c"""
ASH6XswwdgsNLbmrTX2f;2024-06-09T13:20:48.456;5;663825;"""0bd678e6-6cbe-42df-98d3-be2eac097b42"""
AfhkWCtkgYRtv2hOzDP0;2024-06-17T07:40:59.789;5;250000;"""6cc68323-502b-4eee-834a-743cf7d10e93"""
AjLQtkXda7TayEmWhdrK;2024-05-15T08:15:20.345;4;200000;"""9dc91b71-8980-4bf4-a616-8380cde57030"""
BA4F1mMv7Y0JGZZKVQiP;2024-06-08T13:35:35.678;6;595000;"""9879a114-4f87-4778-bf01-263aae2cf5dc"""
BLdoLpIVH9RLMh8taFvH;2024-06-18T07:30:11.901;9;783000;"""770b9d7c-2d1f-4759-b41b-6ff2afa8d6b7"""
BMLi97URJw3sq5HIYDu3;2024-06-03T08:10:42.234;5;506000;"""ed97a1d3-674a-44ff-9a5f-f6996b1ae4c3"""
Bg6wYdVFvwVxXk6aasyf;2024-06-22T18:20:29.567;7;817691;"""25edc229-1fc4-41eb-809c-81e44e860943"""
Bq4psHd8PE9G695NUpwo;2024-06-13T12:45:10.890;9;565000;"""37d7d0f3-385f-452d-9b77-77ff39a8483e"""
DMIzvJZaC5UjA1HoeRAZ;2024-06-09T07:35:13.123;2;292000;"""c19f5801-3130-4e19-a09c-a10aa0942d23"""
DOJy7S9gwORwyR0wNVzI;2024-06-17T12:55:46.456;8;1049536;"""baca2de1-eeb0-4bc9-905f-98ea2901cf0e"""
DPUJCmNwb96liAKg9maX;2024-06-29T08:00:57.789;8;713456;"""927b81c0-8c91-4d08-94bd-4a6228d5842e"""
DfpJRRBaEByvVdTA4mQ7;2024-06-23T19:05:34.012;5;450650;"""c29c69d5-e2a7-4ae2-878e-d724464df2d8"""
DkwsXqwbAGH04W9Gxxhc;2024-06-08T13:10:21.345;5;387000;"""81955eec-aaa2-4259-afd9-78da5be6cf30"""
DymFgesaPkQPHwGk9KXN;2024-06-28T12:30:48.678;7;815374;"""4a5c5533-87b4-412f-a6b1-8ea6b6f10a1d"""
EKSVE0Woc6SU1e4UNwmz;2024-06-23T08:20:59.901;2;151172;"""ff0b54ae-e845-490d-89ff-a630a0289bb2"""
EPgVhoV9RN9kpHchFpis;2024-05-15T12:25:16.234;2;100000;"""c7d385c4-9f4e-4ece-a4e7-1527dd6cdb5d"""
Ei14xKPqDa6SX1mDd8P9;2024-06-30T18:10:29.567;5;250080;"""299085e2-374d-4376-b686-ef98be4266db"""
EjRhJwSUEe5H8vhbgGwd;2024-06-17T08:15:34.890;4;541000;"""302bd79a-a4cc-4bde-9246-2f954bbdbb60"""
F9imCvDOWxAwVa26enhP;2024-06-25T19:50:17.123;1;142328;"""0e2d3205-1a59-440c-a513-3e6a431a5217"""
FAzpA2FGVxwkeF3g7v72;2024-06-10T07:15:30.456;10;1019760;"""0b5149ec-e0bd-4643-b2e0-47cee13a9bc1"""
FXWiwJO4SdjpmUpuNgUM;2024-06-03T12:50:43.789;10;981490;"""e097dbcc-dc4a-4815-a12f-5314363dfe6f"""
FiPAwSjhzg8MXm1t7P4d;2024-05-17T13:25:11.012;3;150000;"""97693b14-7c49-4bf8-99d6-293aecbe9acc"""
FjyM5piXmDc6mg75Odh1;2024-06-04T19:10:56.345;7;832000;"""8f7f0d7d-5efa-4d91-8c56-1f1b3680fb31"""
G2bIsmoUQBtOjKM7zfgP;2024-06-21T07:05:28.678;3;321000;"""3f6f6452-e52e-4cda-a829-dc90a37f0f10"""
GSzpIXVjRMbylIeg6AM6;2024-06-30T08:10:39.901;4;338000;"""d7e731f0-47cf-4c06-b2c4-77468f5175f2"""
